"Token Value","Attribute Name","Attribute Setting",Description,Spec,Request
001B,"Built-in Floppy",Read-only,"Cause the system's floppy controller to become read-only, no write operations are permitted",,
001C,"Built-in pointing device",Enable,"Enable the built-in pointing device (a.k.a. mouse) port.",,
001D,"Built-in pointing device",Disable,"Disable the built-in pointing device port",,
001E,Speaker,Disable,"Disable the built-in speaker.",,
001F,Speaker,Low,"Enable the built-in speaker, at a low volume",,
0020,Speaker,Medium,"Enable the built-in speaker, at a medium volume",,
0021,Speaker,High,"Enable the built-in speaker, at a high volume",,
0022,"Sound Device",Enable,"Enable the system's built-in sound device",,
0023,"Sound Device",Disable,"Disable the system's built-in sound device",,
0024,"Power Management",Disable,"Disable the system's power-management capabilities",,
0025,"Power Management",Minimum,"Enable the system's minimum power-management capabilities",,
0026,"Power Management",Regular,"Enable the system's regular power-management capabilities",,
0027,"Power Management",Maximum,"Enable the system's maximum power-management capabilities",,
0028,Auto-on,Disable,"Disable the system's auto-on capabilities",,
0029,Auto-on,"Every Day","Enable the system's auto-on capabilities every day of the week",,
002A,Auto-on,Weekdays,"Enable the system's auto-on capabilities for the weekdays (Monday through Friday) only.",,
002B,"Auto-on Hour",n/a,"Sets the hour at which the system is to power on, if enabled. The value is specified in 24-hour BCD, i.e. if the system is to power on at 11:59pm this attribute is set to 23h",,
002C,"Auto-on Minute",n/a,"Sets the minute at which the system is to power on, if enabled. The value is specified in BCD, i.e. if the system is to power on at 11:59pm this attribute is set to 59h.",,
002D,"Embedded NIC1","Enable with PXE","Enable the system's primary embedded network interface controller (full-function), including its PXE boot-ROM.",,
002E,"Embedded NIC1",Disable,"Disable the system's primary embedded network interface controller.",,
002F,"Infrared Location",Front,"The built-in IR device, if enabled, transmits out the front of the unit",,
0030,"Infrared Location",Back,"The built-in IR device, if enabled, transmits out the back of the unit",,
0031,"Infrared Device",Disable,"Disable the built-in IR device",,
0032,"Infrared Device",COM1,"Enable the built-in IR device, using COM1 resources",,
0033,"Infrared Device",COM2,"Enable the built-in IR device, using COM2 resources",,
0034,"Infrared Device",COM3,"Enable the built-in IR device, using COM3 resources",,
0035,"Infrared Device",COM4,"Enable the built-in IR device, using COM4 resources",,
0036,"Replicator SCSI",Enable,"Report the port replicator's SCSI resources, regardless of whether the replicator is present.",,
0037,"Replicator SCSI",Disable,"Don't include the port replicator's SCSI resources if the replicator is not present.",,
0038,"Replicator NIC",Enable,"Report the port replicator's NIC resources, regardless of whether the replicator is present",,
0039,"Replicator NIC",Disable,"Don't include the port replicator's NIC resources if the replicator is not present",,
003A,"Monitor Toggling",Enable,"Enable monitor toggling",,
003B,"Monitor Toggling",Disable,"Disable monitor toggling",,
003C,"PC Card 1 Slot",Enable,"Enable the upper PC Card slot",,
003D,"PC Card 1 Slot",Disable,"Disable the upper PC Card slot",,
003E,"PC Card 2 Slot",Enable,"Enable the lower PC Card slot",,
003F,"PC Card 2 Slot",Disable,"Disable the lower PC Card slot",,
0040,"Keyboard Click",Enable,"Enable the keyboard to 'click' each time a key is pressed",,
0041,"Keyboard Click",Disable,"Disable the keyboard-click feature.",,
0042,"Num Lock",Enable,"Enables the Num Lock key to be active each time the system boots",,
0043,"Num Lock",Disable,"Disables the Num Lock key each time the system boots",,
0044,"SCSI 1",Enable,"Enables the first built-in SCSI controller",,
0045,"SCSI 1",Disable,"Disables the first built-in SCSI controller",,
0046,"SCSI 2",Enable,"Enables the second built-in SCSI controller",,
0047,"SCSI 2",Disable,"Disables the second built-in SCSI controller",,
0048,"Memory Cache",Enable,"Enables the memory cache for all installed processors",,
0049,"Memory Cache",Disable,"Disables the memory cache for all installed processors",,
004A,"PCI Scan Order","Onboard First","Causes the BIOS to scan onboard devices first on each boot.",,
004B,"PCI Scan Order","Slot First","Causes the BIOS to scan add-in devices first on each boot",,
004C,"Backup Reminder",Enable,"Enable the boot-time system backup reminder",,
004D,"Backup Reminder",Disable,"Disable the boot-time system backup reminder",,
004E,"Virus Check at boot",Enable,"Enable the boot-time virus checking",,
004F,"Virus Check at boot",Disable,"Disable the boot-time virus checking",,
0050,Speaker,Enable,"Enable the built-in speaker. The speaker is enabled at the single system-supported volume.",,
0051,"Boot Sequence","Diskette First","For the next system boot, set the IPL priority to: diskette, hard drive, IDE CD-ROM, option ROMs (if the devices are available)",,
0052,"Boot Sequence","Hard Disk Only","For the next system boot, set the IPL priority to: hard drive then option ROMs (if the devices are available)",,
0053,"Boot Sequence","Device List","For the next system boot, set the IPL priority to: diskette, IDE CD-ROM, hard drive, option ROMs (if the devices are available)",,
0054,"Boot Sequence","CD-ROM First","For the next system boot, set the IPL priority to: IDE CD-ROM, diskette, hard drive, option ROMs (if the devices are available)",,
0055,Wake-on-LAN,Disabled,"The system will not respond to magic packets or other means of wake-on-LAN. The NIC chip section that looks for packets will not be powered.",,
0056,Wake-on-LAN,Add-in-card,"Any NIC plugged into an expansion slot will be enabled for Wake-on-LAN. There's only one small white NIC power connector per riser, so if the user has two or more add-in NICs, whichever one is plugged into the special power connector is the source of any Wake-on-LAN signal.",,
0057,Wake-on-LAN,On-board,"The on-board NIC is enabled for Wake-on-LAN.",,
0058,"Management Driver",Present,"Internal use by system managment software"
0059,"Management Driver",Absent,"Internal use by system managment software."
005A,"Reset Button",Enable,"The system's reset button, if pressed, is enabled to perform a hardware reset of the system.",,
005B,"Reset Button",Disable,"The system's reset button, if pressed, will not perform a hardware reset of the system.",,
005C,"Remote BIOS Update",Enable,"Internal use by BIOS update utility."
005D,"Remote BIOS Update",Disable,"Internal use by BIOS update utility."
005E,"Universal Connect",Enable,"Prohibits Win95 from re-enumerating every time a new dock device is attached to the system.",,
005F,"Universal Connect",Disable,"Allows Win95 to re-enumerate every time a new dock device is attached to the system.",,
0060,"Infrared Mode",Fast,"The system IR port receives in Fast IR Mode.",,
0061,"Infrared Mode",Slow,"The system IR port receives in Slow IR Mode.",,
0062,"Audio Mode",Disabled,"Completely unassigns the onboard audio hardware resources.",,
0063,"Audio Mode","Half Duplex","Enables the onboard audio to either record or playback sounds.",,
0064,"Audio Mode","Full Duplex","Enables the onboard audio to record and playback sounds simultaneously.",,
0065,"External Hotkey",Disabled,"Disables the external keyboard hot-key feature.",,
0066,"External Hotkey","Scroll Lock","Allows the Scroll Lock key on an external keyboard to act as the FN key on the internal keyboard.",,
0067,"Diskette Reconfigure",Anytime,"Allows the user to hot- or warm-plug a floppy drive into the system at anytime and have it functional.",,
0068,"Diskette Reconfigure","At Boot Only","The system must be rebooted to make a warm- or hot-inserted floppy drive work properly.",,
0069,IntelliSpin,Variable,"Allows the CD-ROM drive to slow down if it detects too much vibration (from an unbalanced CD-ROM)..",,
006A,IntelliSpin,"High Performance","Forces the CD-ROM drive to spin at its maximum speed, regardless of the vibration induced.",,
006B,"BIOS Power-off on Environmental Error",Enable,"The system-management instrumentation sets this attribute to enable the BIOS's assistance in environmental monitoring. If this attribute is active and the management driver is present (see above), the BIOS provides additional system protection for non-recoverable environmental failures and powers the system off some (possibly system-specific) amount of time after alerting the management software of an environmental error (e.g. processor temperature out-of-range). This provides a level of hardware protection in the case where the management software is not able to power the system off.",,
006C,"BIOS Power-off on Environmental Error",Disable,"When the management software sets this attribute, the system BIOS does not power the system down in the presence of any environmental failure.",,
006D,Wake-on-LAN,Enabled,"The system wake-on-LAN feature is enabled; either an onboard or an add-in NIC can wake the system up.",,
006E,"Embedded NIC1","Enable without Boot Support","Enable the system's primary embedded network interface controller, but don't enable the NIC's associated PXE or RPL boot-ROM.",,
006F,"Mobile Power Management",Enabled,"Enables the mobile system's power management. This attribute requires special handling.",,
0070,"Mobile Power Management",Disabled,"Disables the mobile system's power management. This attribute requires special handling.",,
0071,"Smart CPU",Enabled,"Enables the system's Smart CPU (i.e. clock throttling) during periods of low system activity. This attribute requires special handling.",,
0072,"Smart CPU",Disabled,"Disables the system's Smart CPU (i.e. clock throttling) during periods of low system activity. This attribute requires special handling.",,
0073,"Ring Resume",Enabled,"Allows the system to resume from Suspend due to an incoming call to an attached modem.",,
0074,"Ring Resume",Disabled,"Prevents the system from resuming from Suspend due to an incoming call to an attached modem.",,
0075,"Alarm Resume",Enabled,"Allows the system to resume from Suspend due to a system alarm.",,
0076,"Alarm Resume",Disabled,"Prevents the system from resuming from Suspend due to a system alarm.",,
0077,"Display Close State",Active,"When the system's lid is closed, the system will remain in the Active ('on') state.",,
0078,"Display Close State",Suspend,"When the system's lid is closed, it will be forced into Suspend.",,
0079,"Display Time-out",Value,"The encoded value of the Display Time-out timer, one of: 0 - Disabled 1 - 1 minute 2 - 2 minutes 3 - 3 minures 4 - 4 minutes 5 - 5 minutes 6 - 10 minutes 7 - 15 minutes 8 - 30 minutes 9 - 60 minutes This attribute requires special handling.",,
007A,"Hard Disk Time-out",Value,"The encoded value of the Hard Disk Time-out timer, one of: 0 - Disabled 1 - 15 seconds 2 - 1 minutes 3 - 2 minures 4 - 3 minutes 5 - 4 minutes 6 - 5 minutes 7 - 10 minutes 8 - 15 minutes 9 - 30 minutes 10 - 60 minutes This attribute requires special handling.",,
007B,"Suspend Time-out",Value,"The encoded value of the Suspend Time-out timer, one of:0 - Disabled 1 - 1 minute 2 - 2 minutes 3 - 3 minures 4 - 4 minutes 5 - 5 minutes 6 - 10 minutes 7 - 15 minutes 8 - 30 minutes 9 - 60 minutes This attribute requires special handling.",,
007C,"Save to Disk Time-out",Value,"The encoded value of the Save-to-Disk Time-out timer, one of: 0 - Disabled 1 - 30 minutes 2 - 1 hour 3 - 2 hours 4 - 3 hours 5 - 4 hours 6 - 6 hours 7 - 8 hours 8 - 12 hours This attribute requires special handling.",,
007D,"LCD Brightness",Value,"When Mobile Power Management is Enabled, the system will force the LCD brightness to the value specified in this field. This attribute requires special handling.",,
007E,"SCSI 3",Enable,"Enables the third built-in SCSI controller",,
007F,"SCSI 3",Disable,"Disables the third built-in SCSI controller",,
0080,"Disable POST Intrusion Alert",Status,"This token is used to enable or disable the system POST display of a previous chassis intrusion. When the token value read or written is the non-zero value defined in the token-table, the system will continue to detect intrusion events but POST will not display an alert-message to the end-user. Management software writes this token to 0 to enable the POST message display.",,
0081,"Docking IRQ",Optimized,"The notebook's POST assigns a dedicated IRQ for use by the docking station; the IRQ assignment is dependent on current notebook resources at the time of the dock.",,
0082,"Docking IRQ",IRQ11,"The notebook's POST reserves IRQ11 for sole use by the docking station.",,
0083,"Bootable CD Data Byte 1",N/A,"Identifies a 1-byte nonvolatile storage location used by the Dell-developed bootable CD-ROMs",,
0084,"Bootable CD Data Byte 2",N/A,"Identifies a 1-byte nonvolatile storage location used by the Dell-developed bootable CD-ROMs",,
0085,"Hardware Event Reporting",Enable,"Enables the system's onboard NIC to issue Platform Event Traps (PETs) upon detecting various environmental and security conditions.",,
0086,"Hardware Event Reporting",Disable,"Disables the system's onboard NIC to issue Platform Event Traps (PETs) upon detecting various environmental and security conditions.",,
0087,"Boot-time Video",Onboard,"The onboard video controller is used for boot-time messages.",,
0088,"Boot-time Video",Add-in,"The first add-in video controller is used for boot-time messages. Note that 'first' is a system-specific adjective, depending on the BIOS search order and system slot layout.",,
0089,"Intel Processor Serial Number",Disable,"Disables the viewing and control of the number for all processors in the system.",,
008A,"Limit System Memory (OS Install Mode)",Enable,"Some operating systems will not install properly if there is more than 2GB of system memory enabled in the system. The Limit System Memory attribute, when set to Enable, causes the BIOS to report at most 256MB of system memory ... allowing the OS install to proceed without error. The user/administrator must set this attribute back to the Disable setting to cause the system memory limit to be removed. In some systems, this is referred to as the 'OS Install Mode'.",,
008B,"Limit System Memory",Disable,"Disable the feature, allowing all installed system memory to be reported to the operating system.",,
008C,"USB Controller",Enable,"Causes the BIOS to enable the built-in USB controller at system startup",,
008D,"USB Controller",Disable,"Causes the BIOS to disable the built-in USB controller at system startup",,
008E,"Wake-on-LAN Boot Override",Enabled,"When the system powers on due to a Wake-on-LAN event, the NIC boot-ROM is automatically given the highest boot priority, pre-pending the PXE boot-ROM to the system's current boot sequence. If the system powers on due to some other event, this selection does not influence the boot sequence.",,
008F,"Wake-on-LAN Boot Override",Disabled,"The boot override feature is disabled and the system boot sequence is in effect for all types of system power on.",,
0090,"Chassis Intrusion Reporting",Enabled,"Enables the system to detect and report Chassis Intrusion events to the system display on boot-up.",,
0091,"Chassis Intrusion Reporting",Disabled,"Disables the system's detection and reporting of Chassis Intrusion events.",,
0092,"Chassis Intrusion Reporting","Enabled, Silent","Enables the system to detect Chassis Intrusion events, but suppresses the reporting of these events on the system boot-up display.",,
0093,"Force PXE on Next Boot",Enabled,"The next time the BIOS boots the system, the first PXE-capable device is inserted as the first device in the boot sequence. Enabling this value causes this operation on the next boot only, and does not cause a change in the system's defined boot sequence. The BIOS chooses the first PXE-capable device as the system's onboard network controller, if present and enabled, or the first bootable network device found in the system's standard PCI search order — whichever comes first.",,
0094,"Force PXE on Next Boot",Disabled,"The boot override feature is disabled and the system boot sequence is in effect.",,
0095,"On-board 1394",Enabled,"Enables the On-board 1394 Controller on next boot.",,
0096,"On-board 1394",Disabled,"Disables the On-board 1394 Controller on next boot.",,
0097,"PCI Slots",Enabled,"Enables the On-board PCI slots.",,
0098,"PCI Slots",Disabled,"Disables the On-board PCI slots.",,
0099,"AGP Slot",Enabled,"Enables the On-board AGP slot.",,
009A,"AGP Slot",Disabled,"Disables the On-board AGP slot.",,
009B,"USB Emulation, USB Boot Capable",Enabled,"Enables BIOS emulation of all supported USB devices (currently keyboard, mouse, hub, floppy, and USB flash).",,
009C,"USB Emulation",Disabled,"Disables BIOS emulation of all USB devices after POST. USB emulation is on during POST to allow USB keyboards to be used to enter Setup.",,
009D,"Keyboard Error Reporting",Enabled,"Enables reporting of Keyboard errors by POST.",,
009E,"Keyboard Error Reporting",Disabled,"Disables reporting of Keyboard errors by POST.",,
009F,"Password Status Lock",Locked,"Locks the current state of the System password. If a system password has been set, it cannot be removed. If a system password has not been set, it cannot be set.",,
00A0,"Password Status Lock",Unlocked,"Allows normal operation of the system password.",,
00A1,"AC Power Recovery Mode",Off,"After an AC power loss, when AC power is restored, the system will stay off.",,
00A2,"AC Power Recovery Mode",Last,"After an AC power loss, when AC power is restored, the system will return to the state was in when power was lost.",,
00A3,"AC Power Recovery Mode",On,"After an AC power loss, when AC power is restored, the system will power on.",,
00A4,"VGA DAC Snoop",Enabled,"Enables DAC Snoop for the primary video device.",,
00A5,"VGA DAC Snoop",Disabled,"Disables DAC Snoop for the primary video device.",,
00A6,"Parallel Port Mode","ECP, DMA 1","Enables the system's built-in parallel port to operate in ECP mode, DMA channel 1.",,
00A7,"Parallel Port Mode","ECP, DMA 3","Enables the system's built-in parallel port to operate in ECP mode, DMA channel 3.",,
00A8,BIS,Accept,"Set Boot Integrity Services to Accept BIS requests.",,
00A9,BIS,Deny,"Set Boot Integrity Services to DENY BIS requests.",,
00AA,"AGP Aperture Size",8M,"Sets the AGP Aperture size to 8Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00AB,"AGP Aperture Size",16M,"Sets the AGP Aperture size to 16Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00AC,"AGP Aperture Size",32M,"Sets the AGP Aperture size to 32Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00AD,"AGP Aperture Size",64M,"Sets the AGP Aperture size to 64Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00AE,"AGP Aperture Size",128M,"Sets the AGP Aperture size to 64Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00AF,"AGP Aperture Size",256M,"Sets the AGP Aperture size to 64Meg of PCI address space. Note: The ESCD must be cleared after the AGP Aperture Size is changed, or improper system operation may occur.",,
00B0,IOAPIC,Enabled,"Enables the IOAPIC (if it can be disabled)",,
00B1,IOAPIC,Disabled,"Disables the IOAPIC (if it can be disabled)",,
00B2,BIS,Reset,"Set Boot Integrity Services to Reset on next boot.",,
00B3,"Embedded RAID Controller",Off,"The embedded RAID controller is disabled for the next boot cycle, and hidden from PCI space if the system permits.",,

00B4,"Embedded RAID Controller",RAID,"The embedded RAID controller is enabled for RAID mode for the next boot cycle; the controller's A and B channels can operate in either SCSI or RAID mode.",,

00B5,"Embedded RAID Controller",SCSI,"The embedded RAID controller is enabled for SCSI mode for the next boot cycle, and the controller's A and B channels will operate in SCSI mode only.",,

00B6,"Embedded RAID Channel A Primary Copy",RAID,"The embedded RAID controller's Channel A is set to operate in RAID mode on the current system boot (from a BIOS perspective) or on the next system boot (from an application perspective). Notes: 1.This setting has no meaning unless the embedded RAID controller is set to operate in RAID mode (see token B4h). 2.The BIOS compares this value to the shadow copy settings (see tokens CDh through D0h) and prompts the user if a change is detected. 3.After handling the primary/shadow compare action, the BIOS copies the primary copy tokens to the shadow copy tokens on each boot.",,

00B7,"Embedded RAID Channel A Primary Copy",SCSI,"The embedded RAID controller's Channel A is set to operate in SCSI mode on the next system boot. The notes for token B6h also apply to this token.",,
00B8,"Embedded RAID Channel B Primary Copy",RAID,"The embedded RAID controller's Channel B is set to operate in RAID mode on the next system boot. The notes for token B6h also apply to this token.",,
00B9,"Embedded RAID Channel B Primary Copy",SCSI,"The embedded RAID controller's Channel B is set to operate in SCSI mode on the next system boot. The notes for token B6h also apply to this token.",,
00BA,"Embedded NIC2",Disabled,"Disable the system's secondary embedded NIC.",,
00BB,"Embedded NIC2","Enabled without PXE","Enable the system's secondary embedded NIC, but don't enable the NIC's PXE boot-ROM.",,
00BC,"Embedded NIC2","Enabled with PXE","Enable the system's secondary embedded NIC, including the NIC's PXE boot-ROM.",,
00BD,"System Fan Speed","Full Speed","Fan speed set to normal cooling.",,
00BE,"System Fan Speed","Noise Reduced","Fan speed set to slow to reduce noise.",,
00BF,"Console Redirection",Off,"Serial Console Redirection Off.",,
00C0,"Console Redirection",COM1,"Serial Console Redirection On, output to COM1. See also token D7h.",,
00C1,"Power Button",Enabled,"System Power Button Enabled.",,
00C2,"Power Button",Disabled,"System Power Button Disabled.",,
00C3,"NMI Button",Enabled,"NMI Button Enabled.",,
00C4,"NMI Button",Disabled,"NMI Button Disabled.",,
00C5,"Front Panel Error Display Mode","All Errors","All errors reported on Front panel LCD.",,
00C6,"Front Panel Error Display Mode","First Error","Only First error reported on Front panel LCD.",,
00C7,"Front Panel LCD Display Option",Default,"Front panel LCD displays Default string.",,
00C8,"Front Panel LCD Display Option",None,"Front panel LCD displays No string.",,
00C9,"Front Panel LCD Display Option","User Defined String","Front panel LCD displays User defined string.",,
00CA,"Redundant Memory",Off,"Redundant memory support is off. Any change takes effect on the next system boot. Note: The Attribute Name is generalized from 'Redundant Memory Support' to 'Redundant Memory' since DSIS v1.6.",,
00CB,"Redundant Memory",Spare,"Redundant memory support is set for the spare feature. Any change takes effect on the next system boot. This is a general Attribute Setting for systems that support only a single mode of spare memory; for example either Spare Bank or Spare Rank mode. Note: The Attribute Name is generalized from 'Redundant Memory Support' to 'Redundant Memory' since DSIS v1.6. The Attribute Setting is also generalized from 'Spare Bank' to 'Spare' since DSIS v1.6.",,
00CC,"Redundant Memory",Mirror,"Redundant memory support is set for the memory-mirroring feature. Any change takes effect on the next system boot. Note: The Attribute Name is generalized from 'Redundant Memory Support' to 'Redundant Memory' since DSIS v1.6. The Attribute Setting is also generalized from 'Mirroring Enabled' to 'Mirror' since DSIS v1.6.",,
00CD,"Embedded RAID Channel A Shadow Copy",RAID,"The embedded RAID controller's Channel A was set to operate in RAID mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). Notes: 1.This setting has no meaning unless the embedded RAID controller is set to operate in RAID mode (see token B4h). 2.The BIOS compares this value to the primary copy's settings (see tokens B6h through B9h) and prompts the user if a change is detected. 3.After handling the compare action, the BIOS copies the primary copy token value to the shadow copy token value on each boot. 4.Manufacturing diagnostics use the Shadow Copy tokens to synchronize the channel settings to remove the unwanted BIOS prompts.",,
00CE,"Embedded RAID Channel A Shadow Copy",SCSI,"The embedded RAID controller's Channel A was set to operate in SCSI mode on the previous system boot. The notes for token CDh also apply to this token.",,
00CF,"Embedded RAID Channel B Shadow Copy",RAID,"The embedded RAID controller's Channel B was set to operate in RAID mode on the previous system boot. The notes for token CDh also apply to this token.",,
00D0,"Embedded RAID Channel B Shadow Copy",SCSI,"The embedded RAID controller's Channel B was set to operate in SCSI mode on the previous system boot. The notes for token CDh also apply to this token.",,
00D1,"CPU HyperThreading",Enabled,"Enables Hyper Threading on all 'Jackson Technology' CPU's.",,
00D2,"CPU HyperThreading",Disabled,"Disables Hyper Threading on all 'Jackson Technology' CPU's.",,
00D3,"Cpu1 Rated Speed",Value,"Rated speed of CPU1 => 2 byte (LSB then MSB)",,
00D4,"Cpu2 Rated Speed",Value,"Rated speed of CPU2 => 2 byte (LSB then MSB)",,
00D5,"Cpu3 Rated Speed",Value,"Rated speed of CPU3 => 2 byte (LSB then MSB)",,
00D6,"Cpu4 Rated Speed",Value,"Rated speed of CPU4 => 2 byte (LSB then MSB)",,
00D7,"Console Redirection",COM2,"Serial Console redirection On –, output to COM2. See also tokens BFh and C0h.",,
00D8,"Default CMOS",Enabled,"Request a default of CMOS values on the next boot. The BIOS returns this attribute to the Disabled setting after handling.",,
00D9,"Default CMOS",Disabled,"Don't request a default of CMOS on the next boot",,
00DA,"Redundant Memory Capabilities",Capable,"(Read-only) The current memory configuration is valid for redundant memory support. See also tokens CAh through CCh, and 134h.",,
00DB,"Redundant Memory Capabilities","Not Capable","(Read-only) The current memory configuration is not valid (incapable) for redundant memory support.",,
00DC,"Redundant Memory Capabilities","Redundancy Available","(Read-only) Memory subsystem redundancy is still available, redundant memory is not currently in use. Note: This token is present in the SMBIOS token pool only if one of the redundant memory support features (tokens CBh, CCh, and 134h) is enabled when the system boots.",,
00DD,"Redundant Memory Capabilities","Redundancy Lost","(Read-only) Memory subsystem redundancy has been lost, redundant memory is currently in use. Note: This token is present in the SMBIOS token pool only if one of the redundant memory support features (tokens CBh, CCh, and 134h) is enabled when the system boots.",,
00DE,"Single Byte ECC Logging",Disabled,"BIOS has disabled reporting/logging or Single Byte ECC errors in the chipset.",,
00DF,Unassigned,,,,
00E0,E-support,Selected,"This token indicates that an E-support request has been made. This can be SET to force an E-support request.",,
00E1,E-support,"Not Selected","This token indicates that an E-support request has not been made. This is also SET to turn off the E0h token.",,
00E2,"F2 Post Display",Enabled,"Enables F2=Setup on POST boot screen.",,
00E3,"F2 Post Display",Disabled,"Disables F2=Setup on POST boot screen.",,
00E4,"F12 Post Display",Enabled,"Enables F12=Boot Menu on POST boot screen.",,
00E5,"F12 Post Display",Disabled,"Disables F12=Boot Menu on POST Boot screen.",,
00E6,"Boot Speed",Default,"Sets CPU speed to Default",,
00E7,"Boot Speed",Compatible,"Sets CPU speed to Compatible (lots slower). This is implementation dependent. There is no 'set' speed for Compatible, only that it is significantly slower than Default. Some platforms implement this by turning off Cache, some by STPCLK throttling.",,
00E8,"MiniPCI Device",Enabled,"Enables internal MiniPCI device.",,
00E9,"MiniPCI Device",Disabled,"Disables internal MiniPCI device.",,
00EA,"POST Boot Testing",Minimal,"Sets POST to perform minimal hardware testing.",,
00EB,"POST Boot Testing",Thorough,"Sets POST to perform complete HW and configuration testing.",,
00EC,"POST Boot Testing",Automatic,"Allows the BIOS to decide what level of POST test is used.",,
00ED,SpeedStep,Disabled,"Disables SpeedStep dynamic clock changes.",,
00EE,SpeedStep,"Maximum Performance","The system is placed in the maximum performance state available.",,
00EF,SpeedStep,"Maximum Battery","The system is placed in the minimum performance state available",,
00F0,SpeedStep,Automatic,"Allows the BIOS to set either Max Performance, or Max Battery, based on AC presence.",,
00F1,"Pointing Device","External Serial Only","Use an external serial mouse and disable integrated touch pad.",,
00F2,"Pointing Device","External PS2 Only","Disable the integrated touchpad when an external PS/2 mouse is present.",,
00F3,"Pointing Device","Switch to Touchpad","Switch to touchpad, when both the touchpad and an external PS/2 mouse is present.",,
00F4,"Pointing Device","Switch to external PS2","Switch to external PS2, when both the touchpad and an external PS/2 mouse is present.",,
00F5,"Low Power Mode",Enabled,"The system will go into lowest-Power Off mode in S4 and S5, turning off as much of the power-consuming circuitry as required, to attempt to meet 1W power limit. This may disable things like PME, USB power, etc.",,
00F6,"Low Power Mode",Disabled,"The system will be in a normal power-use mode when in S4 or S5.",,
00F7,"Cpu5 Rated Speed",Value,"Rated speed of CPU5 => 2 byte (LSB then MSB)",,
00F8,"Cpu6 Rated Speed",Value,"Rated speed of CPU6 => 2 byte (LSB then MSB)",,
00F9,"Cpu7 Rated Speed",Value,"Rated speed of CPU7 => 2 byte (LSB then MSB)",,
00FA,"Cpu8 Rated Speed",Value,"Rated speed of CPU8 => 2 byte (LSB then MSB)",,
00FB,ASF,Enable,"Enables ASF Alerts through on-board NIC.",,
00FC,ASF,Disable,"Disables ASF Alerts through on-board NIC.",,
00FD,"Built-in USB Controller",Off,"The BIOS disables the built-in USB controller at system startup.",,
00FE,"Built-in USB Controller","Enabled, Without Legacy Support","The BIOS enables the built-in USB controller, but does not provide legacy USB support for operating systems that do not natively support USB keyboards and mice.",,
